p1_x,p1_y,p2_x,p2_y,p3_x,p3_y,p4_x,p4_y
-568.4103,-1017.10394,231.91174,-1126.573,-457.78845,1844.011,-97.03539,-536.215
-564.74884,-1013.6874,229.68628,-1126.4952,-462.17776,1846.4117,-102.63198,-538.2934
-561.0874,-1010.2708,227.46082,-1126.4175,-466.56708,1848.8125,-108.22857,-540.37177
-557.42596,-1006.85425,225.23535,-1126.3397,-470.9564,1851.2133,-113.82516,-542.45013
-553.7645,-1003.4377,223.00989,-1126.262,-475.3457,1853.614,-119.421745,-544.5285
-550.1031,-1000.0211,220.78442,-1126.1842,-479.73502,1856.0148,-125.01833,-546.6069
-546.44165,-996.60455,218.55896,-1126.1064,-484.12433,1858.4155,-130.61491,-548.68524
-542.7802,-993.188,216.3335,-1126.0287,-488.51364,1860.8163,-136.2115,-550.7636
-539.1188,-989.7714,214.10803,-1125.9509,-492.90295,1863.217,-141.80809,-552.842
-535.45734,-986.35486,211.88257,-1125.8732,-497.29227,1865.6178,-147.40468,-554.92035
-531.7959,-982.9383,209.6571,-1125.7954,-501.68158,1868.0186,-153.00127,-556.9987
-528.13446,-979.5217,207.43164,-1125.7177,-506.0709,1870.4193,-158.59785,-559.0771
-524.473,-976.10516,205.20618,-1125.6399,-510.4602,1872.8201,-164.19444,-561.15546
-520.8116,-972.6886,202.98071,-1125.5621,-514.84955,1875.2208,-169.79103,-563.2338
-517.15015,-969.27203,200.75525,-1125.4844,-519.2389,1877.6216,-175.38762,-565.3122
-513.4887,-965.85547,198.52979,-1125.4066,-523.62823,1880.0223,-180.9842,-567.39056
-509.82727,-962.4389,196.30432,-1125.3289,-528.0176,1882.4231,-186.5808,-569.46893
-506.16583,-959.02234,194.07886,-1125.2511,-532.4069,1884.8239,-192.17738,-571.5473
-502.5044,-955.6058,191.8534,-1125.1733,-536.79626,1887.2246,-197.77397,-573.6257
-498.84296,-952.1892,189.62793,-1125.0956,-541.1856,1889.6254,-203.37056,-575.70404
-495.18152,-948.77264,187.40247,-1125.0178,-545.57495,1892.0261,-208.96715,-577.7824
-491.52008,-945.3561,185.177,-1124.9401,-549.9643,1894.4269,-214.56374,-579.8608
-487.85864,-941.9395,182.95154,-1124.8623,-554.35364,1896.8276,-220.16032,-581.93915
-484.1972,-938.52295,180.72607,-1124.7845,-558.743,1899.2284,-225.75691,-584.0175
-480.53577,-935.1064,178.50061,-1124.7068,-563.1323,1901.6292,-231.3535,-586.0959
-476.87433,-931.6898,176.27515,-1124.629,-567.52167,1904.0299,-236.95009,-588.17426
-473.2129,-928.27325,174.04968,-1124.5513,-571.911,1906.4307,-242.54668,-590.2526
-469.55145,-924.8567,171.82422,-1124.4735,-576.30035,1908.8314,-248.14326,-592.331
-465.89,-921.4401,169.59875,-1124.3958,-576.23627,1912.3726,-253.73985,-594.40936
-462.22858,-918.02356,167.37329,-1124.318,-576.1722,1915.9137,-259.33643,-596.48773
-458.56714,-914.607,165.14783,-1124.2402,-576.1081,1919.4548,-264.933,-598.5661
-454.9057,-911.1904,162.92236,-1124.1625,-576.044,1922.996,-270.5296,-600.6445
-451.24426,-907.77386,160.6969,-1124.0847,-575.9799,1926.5371,-276.1262,-602.72284
-447.58282,-904.3573,158.47144,-1124.007,-575.91583,1930.0782,-281.72278,-604.8012
-443.9214,-900.94073,156.24597,-1123.9292,-575.85175,1933.6194,-287.0525,-607.0018
-440.25995,-897.5242,154.02051,-1123.8514,-575.78766,1937.1605,-292.3822,-609.20233
-436.5985,-894.1076,151.79504,-1123.7737,-575.7236,1940.7017,-297.7119,-611.4029
